기간,품목명,국가명,수출중량(톤),수출금액(천불),수입중량(톤),수입금액(천불)
2021,동,남아프리카공화국,,,,
2021,동,네덜란드,0,0,0,0
2021,동,독일,,,,
2021,동,러시아연방,0,0,0,12
2021,동,멕시코,0,0,10185,23815
2021,동,몬테네그로,0,0,22656,29452
2021,동,미국,0,0,25219,50841
2021,동,베트남,,,,
2021,동,브라질,0,0,43321,125083
2021,동,사우디아라비아,,,,
2021,동,스웨덴,0,0,0,0
2021,동,UAE,0,0,37527,63214
2021,동,아르메니아,0,0,7664,8748
2021,동,우즈베키스탄,0,0,0,0
2021,동,인도,,,,
2021,동,인도네시아,246,17,301262,793883
2021,동,일본,6434,12489,0,0
2021,동,조지아,0,0,24,38
2021,동,중국,553578,1172999,2,92
2021,동,칠레,0,0,382806,931692
2021,동,카타르,0,0,25079,47129
2021,동,캄보디아,391,157,0,0
2021,동,캐나다,0,0,214808,775225
2021,동,케냐,,,,
2021,동,콩고,0,0,323,394
2021,동,크로아티아,0,0,5593,10626
2021,동,탄자니아,,,,
2021,동,태국,15,57,0,0
2021,동,튀르키예,0,0,0,1
2021,동,파나마,0,0,142977,365082
2021,동,파키스탄,,,,
2021,동,파푸아뉴기니,0,0,29379,105195
2021,동,페루,0,0,451931,1288783
2021,동,폴란드,,,,
2021,동,프랑스,0,0,0,0
2021,동,핀란드,0,0,0,0
2021,동,필리핀,0,0,19979,69419
2021,동,호주,0,0,377214,1328508
2022,동,남아프리카공화국,0,0,16392,55508
2022,동,네덜란드,,,,
2022,동,독일,0,0,0,0
2022,동,러시아연방,,,,
2022,동,멕시코,0,0,36093,73136
2022,동,몬테네그로,0,0,192725,307154
2022,동,미국,0,0,138,334
2022,동,베트남,8,7,0,0
2022,동,브라질,,,,
2022,동,사우디아라비아,0,0,479,1726
2022,동,스웨덴,,,,
2022,동,UAE,0,0,89510,143457
2022,동,아르메니아,,,,
2022,동,우즈베키스탄,,,,
2022,동,인도,0,0,0,0
2022,동,인도네시아,893,83,461761,1477440
2022,동,일본,,,,
2022,동,조지아,,,,
2022,동,중국,741946,1582263,2,56
2022,동,칠레,0,0,476470,1121896
2022,동,카타르,,,,
2022,동,캄보디아,311,3,0,0
2022,동,캐나다,0,0,179966,680016
2022,동,케냐,0,0,0,0
2022,동,콩고,,,,
2022,동,크로아티아,0,0,60068,96991
2022,동,탄자니아,0,0,9087,31575
2022,동,태국,1953,50,0,0
2022,동,튀르키예,0,0,1186,1434
2022,동,파나마,0,0,108797,256233
2022,동,파키스탄,0,0,0,1
2022,동,파푸아뉴기니,0,0,29259,101073
2022,동,페루,0,0,237079,638489
2022,동,폴란드,0,0,597,502
2022,동,프랑스,,,,
2022,동,핀란드,,,,
2022,동,필리핀,0,0,79533,295806
2022,동,호주,0,0,379675,1295501
2021,연,그리스,0,0,6454,15571
2021,연,나이지리아,0,0,0,0
2021,연,남아프리카공화국,0,0,7573,13076
2021,연,네덜란드,0,0,2379,11781
2021,연,러시아연방,0,0,19879,38650
2021,연,멕시코,0,0,92773,886119
2021,연,모로코,0,0,10103,13264
2021,연,몬테네그로,0,0,7450,17431
2021,연,미국,0,0,77532,200076
2021,연,베트남,,,0,0
2021,연,보스니아헤르체고비나,0,0,,
2021,연,볼리비아,0,0,73608,268181
2021,연,불가리아,0,0,,
2021,연,세르비아,0,0,13662,38096
2021,연,스웨덴,0,0,,
2021,연,스위스,0,0,0,1
2021,연,스페인,0,0,6507,6658
2021,연,싱가포르,,,43,156
2021,연,온두라스,0,0,14830,34816
2021,연,인도네시아,41,20,,
2021,연,일본,,,0,0
2021,연,중국,,,0,0
2021,연,칠레,,,483,1276
2021,연,태국,41,26,0,0
2021,연,튀르키예,0,0,5113,11507
2021,연,페루,0,0,165234,444190
2021,연,호주,0,0,138792,365783
2022,연,그리스,0,0,1827,3706
2022,연,나이지리아,0,0,246,269
